INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('cba641ac-9458-49ad-bb8c-2ab4225cd162', '7934e6b9-1c78-4cbd-87a2-446095d41e40', 'endbsnjlb31DFQeWcQeYDJpNaogQS4qMN6iWRLn9', '0'),
('0e2432d9-02ce-4c2c-8dd8-9bd4fd14e316', 'f81dee38-6e4e-4a64-a609-87a43f5ef46a', 'vmsy0949U2xaLBVt50OxMZxsIcDdECwxEEaFcxik', '0'),
('1bac26bd-c3df-49ba-abf1-b871f601a520', '128dcddd-8269-4f79-8c0b-e4e739d0f778', 'cKGaWIIZ41Jg0etdo3padKDXtMJvlJavzoFW2xWk', '0'),
('f11b7624-c0f1-4f1c-844d-9ebede83688a', '19387886-9a49-48f3-a2cd-58c1067b08f6', 'bLE9cPESx4AUlcWgkkqmSaXrxfblWMwV0O8Zjlmo', '0'),
('3fb80a4a-2e59-42e8-adf6-9863a4752f35', 'bea58817-3729-4ccf-bcf3-dd3d0e51fa50', 'SygAdtHlO6pS1jYvn9vY5t8sFU7uBEV36lJ1vv2U', '0'),
('8a49125d-8813-4eae-98ff-9f4baf93469e', '84c62c85-ebe5-46c8-b95e-1e8f18ca2723', 'Wh94wbdGu6BVpOTCZiiWFrKHUadfohCcaHkIUv8U', '0'),
('77dd120d-611f-498a-a396-e87d90beefb6', '3f05709b-1286-4e02-9d3e-98d910b4060c', '6V0A2uR6m4SRhyWoldI5gzupzpUzBtY8ZrHavW9N', '0'),
('b2bec9f6-adab-4147-bcce-b8bf2d90f172', '853a67f8-2e33-4a8b-965a-caec7945768e', '6kTbhOUCPliOPlloMsidAYeKKfRimoXAOYhLzEOc', '0'),
('0d1b700e-15ae-4c0b-b78e-2797ab9942a4', '36863cc4-ddae-4ac8-91de-b8baeffd4a69', 'LQOoLp3WYE9dpASGdD5Qk3rnZXhr4cdyVETsBVta', '0'),
('0de1aa33-c88a-4b9a-b56a-5b334e28caa0', 'eaded1f4-62f4-4922-801c-68c2a8a31439', '5xVKxEZniTOrNFvyk8Gt9uXsPX45NBLWt8W0i28i', '0'),
('9b7c3346-7049-4449-85bf-8a46108a4144', 'cd8dd2cd-6d0c-4353-b5d1-548681c94b4a', 'FUHzm1ArPKCiKHWq9IBm5inrI60FmESN7DZZIe9a', '0'),
('b5c79053-db75-4049-b722-adbbac878ad4', 'ee7b2990-3780-4191-be49-06c1004ffe8a', 'uipgfcTQCWpAigDvqeE1Rbssrv9wgL8s7k24QENy', '0'),
('d899fce0-b031-4a5c-b724-7a6ef08fe3c9', '056de82f-b322-4fb9-b8f5-d71ebaab3b8f', 'Um9ugDTvWabLyWSFdkljqbdhWgC7v6rG7vztFVY5', '0'),
('0b912697-388d-4ed4-9976-1fa0dbfe7059', '10c438a4-7505-4574-b32f-f4e7c1f53a27', 'BXGVbQqFP95UwSwZHgJqkSoXlANlDFBt7xpmxULq', '0'),
('2ab3b05b-891b-485e-84ac-d06d8d5bcaa8', 'ab0227b5-2d84-425f-b1a7-364fba335ee7', 'KYV6tGwO9TpFi0ZJpsc5F7UZiwTj0sUFordPcL2s', '0'),
('b0d3b903-24c9-4b94-bf3e-ab56336dd5fd', '4a840dbc-d8a9-4dbd-bd8b-46afaafdb327', 'bVArZ6170JHYqHhud44HJ80Ulzf9bB3I3VSssWVP', '0'),
('bcd44c9c-f13b-4125-8d63-ea0f051f6a5f', '2353f704-e7ae-4cfa-be98-981376360c29', 'jeY7mR6j0p0w664geMaLFZQFnStW3vdeAAqP3BWC', '0'),
('c3ea9df9-afac-4558-a7d1-87bb877babc3', '6a18b0eb-d611-4651-b95c-8dcf67711703', 'TACXBEhuc9LBqbdj9k7TvqUuLiDupEN9Xlg5zrG3', '0'),
('0ec49f13-b202-493d-8de8-626cdd518171', 'a8fd08bb-4f4f-4ec7-ac8f-8e5ac6fe0254', 'om3W53sKtOXr86Sbjo2eTn6tK1bG96jYVCo29t3i', '0'),
('38a5d39d-d620-4d7e-870b-0908bd5994f0', '1f4b3d7d-6e94-49bc-95ef-037be04aa3a5', 'HsDfTiRlQgfxaxBHZ5vwQ6WdPBWybEUa7Pa9GmRc', '0'),
('c21c1ef4-9987-46aa-ba68-23324acba503', '57764598-28e3-4202-ab42-0710cfda7ef1', 'SNldhf4XK8SyLzoMb1Gi89kzjV9P9I0nnhdq6JxT', '0'),
('cf4484f4-71ab-48be-81cb-594249b13803', '0565d33f-cf0d-4a8a-ba7d-ca0e88558076', '9ZVlRqaRk9p4hRCRMyFitdi2ygHEt5MlneNxbfvd', '0'),
('c58ca071-be80-4dcb-83a6-696b4d5db8d3', 'a7aac3a6-0c87-4c80-8c32-264bf28dea2e', 'QsILMp4F9H2q92Wodq9FTvpUWF66MuAQ2rgaBrvo', '0'),
('ed2df230-9aef-48a6-860d-a918c2ee4f64', 'f3b79d62-6c1f-4e28-bb1f-01bf05bd75b5', 'BQsuxUbMmWx61hwA8fNFkJKDuXUqub0uL6rK94Ey', '0'),
('83928a3f-6d63-4247-942c-8fc89c1ad45c', '9f2ff9ae-e2ac-4d83-8b22-01cd911a29fc', 'eoK6bDoiDWrYJPc2ATx5qu3Klt5Cw6NJiXRnL9aU', '0'),
('d862518a-f135-41d3-9027-062c1639835c', '2cd53fa6-b823-4b50-9023-6c12abba04c0', 'YK6qUrUMLacuE2xDpf5DYYOZ714SmwoK34UhiFnw', '0'),
('d43b9ba1-c54f-4ad7-8f32-0d1a84bdb10a', 'a135751d-a30f-4b82-8494-02979554dc73', 'qqKA5N4nHFIuZQEcQzUAjRFRTr1G4tsgN9YuV6Wh', '0'),
('52bbbc4b-b2c3-42fc-929e-01c624d89d7a', '1b987b73-7b77-4799-9e83-50125d06b14d', 'DG7JB6f35BKARSadubiYh7D9J0qqPnyo6B8kIfO5', '0'),
('9a33d9f8-5601-438a-8a33-70e3cf575e39', '44b9cfde-4103-42fb-b644-14d7fa850749', 'NClqCrEC5sKZuYv3cGpC5nnl17CeyvYTFy1FTWvl', '0'),
('ddbd53fa-63fd-4a31-ab70-e2b2a2be1427', '6bcd29d5-df0c-4aae-b4ee-7914e0cb963e', 'uR4lKDs8REjJ7mfvhLzsHR0eAhsnyYjMMZekWh6H', '0'),
('911ab968-eb9b-4489-bd39-826a245c6f57', 'f8a29b5e-c9d6-4f3d-b429-4a90e1a7822c', 'U1JQVjxqkc9Y0gm92iEk20nuBHTwjUmsDP648AL2', '0'),
('51ed4909-6b91-464e-8db9-3d52f5ba2924', '6230b118-b1d7-4b10-b3b9-40a49383447e', 'cG9XbSfQoXuTc6pbUv5tXBt94RrJ8SXCHB55r4mv', '0'),
('6fb33665-5c7d-41a8-965b-c186306b9e73', 'c6cfabff-1d23-4a85-bd1c-38e6dce31bc2', '5vTr0GayE05k0nRUElfPoxVwZWY8nCGJuQPswEyw', '0'),
('c52ea5ef-3c11-4d1b-94b0-e021f53fb6c1', '20d21cd3-cc25-41a3-816a-b130fefc0d94', 'Y8vj9tg5wZKGzvqe8hbE2YDHEtvV3JNrh9oxjdgF', '0'),
('395d2a89-95c1-4285-b866-aec7f7dd8ed1', '40f3dc4d-b056-4a57-8bd3-351f72af1473', 'LzmAzHACeDS8VrsHxgR0sQT4l8aVs1rwK5o6W2FV', '0'),
('80f31645-dd3f-412e-ab89-ee4e49696064', 'd6761e26-9391-4437-9b26-180e15acefe0', 'xOPjurfzGAOGU9jRa5ybxDAEiChZlTWFG4u0CgLc', '0'),
('a271b479-8497-4e18-a97e-51b69bf5055a', 'f7bdf27a-70ce-4269-a0ec-d93e618f9c5b', 'uvR9Ow3XShuYBRX35u5pXMkGOVf2jAx6XBYXBNXr', '0'),
('cc46a730-9ddc-42bf-b2c3-a744a33639ff', '14b72a9b-8112-4380-aa6d-f2d2fa703f90', 'a7wPH787642I37d3mCfLgMuM4P5Ew3cB1ZtYZ6X5', '0'),
('f9de6a2f-15bb-44f6-9208-8006d9d45a7b', 'bc558921-82d1-430c-ae9e-5ec6eab1a18e', 'foZaiP4gWcWX3TwRR75MKV1G7XU4fOQiJuAbiTD0', '0'),
('c70c28ee-f0df-462f-a0f3-e76a8893cdc3', '9c77b8e9-55c7-4e1d-863b-3007d4d80849', 'ktAOr9VToX60fFtdcV9X8uodDIjsgK24puUzhqXH', '0'),
('61b7f6cb-64ee-45d7-aab3-e55c2ed74894', '1c1d595a-5146-4ef4-9118-92222ef611f1', 'EQc7WcvBVnWuhfXZ5JUZy0YKkakGQ5cH1ivZ9FQz', '0'),
('ec2f1b6c-1e54-44f6-b516-6014600ce155', '0b1a5c50-8107-4f6d-84d1-725852ff144b', 'DxPV6wvNFXgYrc4seZKuzBLmXSMfRu2GuRgtRven', '0'),
('63c7491e-2f79-47b6-aabf-fa39ff30f098', '9cc5ac8e-d835-4fa3-9f55-875901910a38', 's2WBmJ2PyrBvteiNfj7BbJYd1sydCjkd5SUo5XOF', '0'),
('660bd1f1-8b66-4c55-856e-30439ac2bbf9', '92c7b5ff-5952-4a85-9d28-c1e35458d739', 'zK1mLj23cQMhMnoogXgYTjDINEEmkmeLSFAbwmQV', '0'),
('e92dc459-2c52-4b9b-bf78-e08d27a0475d', '279a88c9-76b1-4fd9-b61c-4c6cb9725454', 'hivgywhXEHgYtUowSOKxaAgCyN8eWIgTBdTLtcQO', '0'),
('ace582f2-5fd5-4696-a81c-d3548b711f73', 'b4d34f21-0110-4d65-8cba-ee48917772bc', 'f6z0jdMteeXf9M9AHqarfDyLbX49EF3nEqHYVXjK', '0'),
('d391b420-0abb-4916-84c4-39acbb2fdadd', 'b844f7e8-e6b5-459a-b4b6-7845f2a1f185', 'GYtNSB9A2GYqz2QrPGtOEgFxAt3Tj2xd5sbnmEXP', '0'),
('84a39418-c97c-4126-ad33-4a68e1fbc3aa', '77d39729-b000-465a-b70a-e811c50eee86', '1sLks2IYIj5p51AiL3BVSPKqavBPxgXJdgJdHp3I', '0'),
('cff8c5c1-4b98-4926-b3d1-9ad471c92d30', 'ec7a3182-76a7-4600-9dfb-7bcbb56605fa', 'DJVDJDDYCxaQ6PJ0R2KcOjCrAKYuqMtHnV34xIGH', '0'),
('0ca8ee7e-35ef-4da0-86cb-5ff77e95fb34', 'fac1fcaa-7312-4f36-bcc9-52ab658b30aa', 'HrcdcRaCiHl4FUNKns9KcFNOgAp3xwq3lQoAR3ar', '0'),
('82eb9d0a-9fb8-4fda-8812-d9e116f8791c', 'e94d3c36-a966-4fcd-9255-20fe0f8ef4c8', 'RKOPFVPYoICcqstWkwRNjUU2ETZWbDeVnHdJMiEN', '0'),
('3f514799-8022-45ac-a84e-6190b1da9ef0', '99cdad3c-8f50-4db8-9200-4ab8721ae9c8', '2cHmKb8NQEN0MYKXsDDZJ4AeCdtSy4DLlR1R2bte', '0'),
('ad3c5c2a-75a8-4ba2-b0f7-0e6567339d8c', 'faa99ee7-6338-4f1f-ab0b-4a3624cd48b6', 'eaek4kym6BT9rQiN2lnFH4cteEBoCsxWVRwd237u', '0'),
('93240fa0-c593-4c1c-9b56-6ec21dbcfedc', '97ba135a-7972-4dff-a6a5-c22467126711', '7424G18ZYdkHJfTzaTAzoxTXYClgDRqlmCzqzMXY', '0'),
('d8981c9b-5885-487e-88b5-f8c6fe4549cd', 'ed36dc2a-07d9-4a69-9820-de8458e54e3e', 'VlThrPEETzR2KMC1ijffBMTWKDz2eW8aHPoSRkQw', '0'),
('2cb61cd8-9c7a-4cfb-9819-2751f0c1b3d0', '1412dd41-3427-43bc-a7c7-bf0181b01d0c', 'Q22QrfL88t4aX02sXXllxiM9HqyMmUeeySMCVkyg', '0'),
('d96c9311-aaa1-40a3-aa94-f61c2afc3eb9', '1090980a-e27c-42fe-88ab-4ec3f626e4f0', 'OuioCBjkIGawuVj60R22FdyhBJNI3zCIIpFs9JVp', '0'),
('71695831-9046-4230-b792-40bcb3fe3a5f', '66bf52aa-e023-47b2-903d-71e421a7aa83', 'f8rrjqvfg106DcTZfE9ThQjOhb5zC56i4cVQ7Bt9', '0'),
('ecf15145-ad22-471f-b85b-872f8a4564cd', 'd8d57ed4-97f5-4fbb-b2af-13724f8c57f6', 'MmChoaDDPItqqq9qaEw4rZbav8lzpDCIJqkNYjyN', '0'),
('d2586a5f-22b0-4a63-9a15-20f4814464eb', '5f19078a-2d08-46fc-bf22-03033f6d728b', 'QxqsNPIIfV2MJEtn60GxlebUSnPMJ9JbWDf95ejT', '0'),
('3b5949a1-add0-457a-a384-3ded12434bf2', '789992c3-3805-4999-a7bb-e642f4b2cad1', '1WLfmQLIME53iH3UEeUepBVmg9tCjLpoFgyNK7cK', '0'),
('00cebe47-b0d9-4142-86ed-1ea2d0e4ff9f', 'd3b80899-d8f7-42ae-bf97-67d237ff5ee5', '19u7rz60kX7SS7FEhTrhfpL29IuG76eu10XDRJwT', '0'),
('1342dc1b-51de-4f4f-82e1-04852f12a953', 'eee7da8a-a087-45b7-a141-e4f20b00912e', 'EGizVRXQOBSlMCoFLiwkagjwcpcKB8wCRWxUNBge', '0'),
('7d7019c6-0241-44cb-b518-136d9be237f3', '3bac5e42-98aa-41ac-a9ed-b1e3ae3942a5', 'EaSUfKaJPwkErT8CGW3CwytIG5GSzlhLZXIg3Hlm', '0'),
('bf737c2e-2253-4fe3-b90c-5f85c564d8fa', '83280e21-afc4-46ac-a8a0-e7c38bdc3177', 'm1X8S9J4Rj3wRk2U0v2tvmyGNfb488U2IyOweySw', '0'),
('07f8d4e2-78fa-42e1-b7cc-7c1d0572eec1', '79261230-8fb5-4ec2-80e5-4a1f38423cf3', '3D5bobGbKTXL8Nsl8hyb3wOxdDdctUM9KrSG6puT', '0'),
('e9d8b8c2-80f7-457c-a0a1-aa4d6761dace', 'c65edded-74c2-4eca-90f9-9fbd4052addf', 'WF1XDiOdjUb9BtApaZkXR4RZ4bsynVwgrMh6oljE', '0'),
('e175f479-9d3b-4fdd-90eb-b5a5606f6302', '3ed8c59d-8596-43e9-8e3e-987d320e3b2d', 'Oe6Yl0zKMAyFcseQQ1eiAX0jvvoLZZE5euBfGEPu', '0'),
('d1e6c022-080f-48c4-93db-690570004d81', '7c4fd7ec-fef8-4cf6-8305-11574d67c3cb', 'iMvslatOHyH8NrNh0yGblfm2jcqaHq5LizSXvY2C', '0'),
('1d97d7c1-ba74-41ba-8e90-ee4084f66168', '3809c5cb-55ec-4759-89f2-71ece616abbe', 'nt9ntrct4wRdpTZarRDwqONileVZ0ykNILq532B5', '0'),
('c072e300-a471-4ab7-ad75-fccb872d98e9', '89c08092-84b1-4c05-a0cb-8f7585d4f18d', 'yCl0zR5tmbdIq9HZ7RjSnJJy3IpscgWpCU2lL5uh', '0'),
('aae4f45b-205a-4199-a608-8bb642725e35', 'ba930001-9541-4072-8991-d4a923a0e1c5', 'Sb7harKkSiYyxBRjgFKcyZ5qiSrqBFN2vgmmAbW9', '0'),
('f50573b3-8c5b-4fae-a4dd-026676579c46', 'b8d4c1ac-1ab5-48c3-9033-ef79063923e4', '2vR7IxfEjRyDHkOuTa7iXUIjKNO3O0Iv5hHnLm6J', '0'),
('5b1b4bc8-cd76-4f64-800f-e01c58896d9d', 'fd623428-fab4-4fe2-8999-97dc59c1b8a8', 'gshCTGiAsaTX3ZWcIm3KoNCxMXRQfQQTHKbxk5eE', '0'),
('72960b59-a876-45f5-902c-d1bc0f9dc86b', '9795424f-0047-40d5-8dc1-de4e71ff8702', 'lPenyjuoPQBzWA3A8zOUJHA40Gni4ItMfmVGAQBJ', '0'),
('a8eccc1c-e715-4cac-88ca-f250d0934cee', '1ccaeb33-fe92-434e-9c80-40b8360e37ee', 'PYkeK0KHbwUa6dlD9VP5T0Bxb1TvaJmmMzmf3cXG', '0'),
('9ed04a2d-569b-4c99-93dc-69bb4ea93542', '4cb81dee-0244-450e-a82f-e74d106289a5', '0wART3bBJp6U2qOkfreQCu7F5Umih3w7W4QcPF79', '0'),
('4fe264c5-8e0b-4043-9f48-f70622f48689', 'bc024a28-9704-4b1a-b372-6fbcef83042b', 'kcv8hrPVy5q1cNS1mbLQO0I0ZYnBWYxkB54hit7S', '0'),
('f63fe34f-de7a-4aaa-b25b-a707893335b9', '655361b5-9ba8-4ada-a5f2-d25631609070', 'Mh7rMiKKVFhLRdF9pXd9vmJKXssp6ijsd4vFppyq', '0'),
('45bbe38e-56d4-407e-a46d-0ccd520b7c2d', 'f79ab947-0507-4b4a-bc0c-ddbacac27002', 'UwpHqtr6jySSJkI2nFrpxbHWU6IWNPb2gDq6xjAf', '0'),
('4f69a715-2848-4bf0-9c0b-b2d969c2c5df', 'df6236f5-d8a2-4506-9c05-8fc4ce62af55', 'JxMhqHbEWZutJ5kTdNOjkiutG9xlR3HLCs4Ce2b2', '0'),
('960cbd2d-a61c-45eb-a1bf-0706d03a6df7', '7b08e8bb-904d-499c-9118-babd5df97bef', 'gM2r9B3l0WSMQ881Pnos2PgRfdChlghwgoSywys2', '0'),
('8875cf3b-b47e-4227-a64a-966318feebaa', 'f2191666-b7c0-4a82-97a0-2fbec314313f', 'OXxg4r8cch4My9750611zMQwMEzZ0NBQbELjCH55', '0'),
('8fd4d704-ac64-4d48-8ceb-34d72b56b51a', 'b0505702-d3c1-4187-8fd9-8c5f58ab97fc', 'rsBM4c8fvhzsILaOUFNo0AKd1tKAECjbUTsmr49X', '0'),
('07f49e48-faa0-48e1-896a-75cfff67047c', 'd5abceae-2407-41dc-867f-aff5f93c7a7b', 'TPI4XTAsBboAZrwrBa0YIEXiYbU5ee4j36IP7Pcj', '0'),
('25428154-7bec-4bab-86c0-96fbaf3f3811', '7ed1180f-78f7-4511-92d6-b4538b5addf6', 'Puj2FJrRnfu84Pht8WEyDaDQJLnORXYzI2hAIdmu', '0'),
('f9b1a42b-cd75-4fcf-a618-ce5218e37478', 'dcc00623-7ae2-4e98-a246-f637313f3f2e', 'UpF9ObcxAEHEqnwh0LHM9NTyfuMZBuBgPqJUnTCS', '0'),
('2c235001-b191-4267-a110-7da8600a2956', '2924fa96-54be-4a91-b83a-75a10c64e3af', 't7m9h9IKLsjawC8O6iuqR1qwKtz318mY7EUuo8pa', '0'),
('aaa3ceaa-2fde-4405-8fc4-89f99ab930c2', '28e24e55-5e6c-4b53-89dd-d531a84911c3', 'A81KweSbtVi0QVUFINwwZ5lz9FPq3aAlV7wmKEyn', '0'),
('79eeb520-dc66-4895-86d3-bf018991664b', '5eb2a8dc-8191-47c5-b1d5-53f156d60a17', 'YQwgelryCzubiDW4jDbEW1Xql53T9nPezdTkI7J5', '0'),
('4af39b57-d0be-4815-9723-a3a2b0f06333', 'd9ec2647-9247-4236-8a41-e167ac5acf00', '4KtJAICgZdI2DFdBDrk0qISnKkJgzvz9k8e4KiHS', '0'),
('82f51b5b-f8aa-4b95-85f0-dae19d72c2f7', '6fd63ea3-c28d-451f-99e3-77f91d0b130c', 'kJpgGaxPl600gvZTFqmcrkG9yP8jhPI59LvAjEI4', '0'),
('807b194d-1fb0-4b8b-9271-cfdd6075deec', 'c93b50a1-dc99-4617-b300-a5fd2b913f53', 'gLYE7PcMPhmOJb95RxJJ7xCU3007ZyY4fqFmq7P8', '0'),
('26716f26-3aa5-44cd-8af3-8917c9a2b9a5', 'b9823317-2f27-4750-b0df-8aba2608a96a', 'hfRrvyvVTlLMqsUyiCkugOJo1UgFTeIE8ZuKorSG', '0'),
('232944e8-efce-4ec0-8a78-72cecc1f02fe', '3b64635b-cd17-42e6-927b-8d721071c262', 'HZL7wjr10UgzfuxmSQQGYScXqMNyQ45IyUr1H9ks', '0'),
('3b008acf-2b92-4bcb-ba35-807bd4483b38', 'f550cf9b-8f87-467f-94f7-9307df0ba5ab', '4xZ5CrzHufdKfwDAHCj89y85VUSpwQYyIrFY1xrn', '0'),
('cdf3779c-56bc-4660-83a9-f98fe0352132', '82967fb8-d1eb-433a-836f-732881c08854', 'V5ApKQcQZXmqLVRd0YISd4QEf1TqHI3acm2qIOmh', '0'),
('7179da6d-4817-43fa-a6a6-0cdebca73ef2', '159e56ec-096a-4ad5-af43-c0014b7f2dc0', 'n6IhJIiiHh0f81Kwtyhrx4EXrs0R82ILDl2KWCP8', '0'),
('0033f9e7-82a3-4897-b469-6fd7495c6640', '364a0ab2-2cf9-4ebf-a1e7-2df7a6b57052', 'U5aZtMaE8qpFhXoxjSeXeylPMBOjTlkEK9rnLTMr', '0'),
('7dfb331c-51a2-4c33-876e-38cdef7b2e66', 'd8970e81-ef78-4fc4-828f-fc8678fb4ef1', 'HO5e8OS21J8z3VlhXHL0TFAksUELB023aJA5zj77', '0'),
('4a894983-fd8e-4d10-a8ef-230291c2105e', 'c0e5ccee-8ff5-47bd-93ea-a43ff268533b', 'AkNJM0vCIW9IGatllPgklL4CXQkDd1Muesp8oYfS', '0'),
('28526ffb-07f0-4d4a-a876-55f229e22757', 'ba4c3c8d-b400-4c95-b531-1c54a445b080', 'GoqCoXLJnYAzTMtjb5sYbrZuj9z1BQYPdB3gaZ95', '0'),
('306bbd5a-e653-4ae1-bb9a-02f58067522a', 'b3e10219-3534-4711-be71-bb3eb9513121', 'ELV7oDHoMBhBpNozXjmRlvLwQYo8iLffm3jblBQN', '0'),
('d96e3ff3-c3d2-4315-8cd1-c8f06bd52ab5', '709d6ee0-ed51-4aba-a84e-245701fcf186', 'fqccs0hXKnV6l26lAvbobT6tLOIdtDebDAYIkrsH', '0'),
('7d51b405-aef5-4485-b31b-09811ec5bcd6', '9532a20f-bedb-4efc-ba17-12d791d2d03b', 'UAf57gcHwUOFWwkx6FU92oUTdAwnrk9rjegs9QEH', '0'),
('1eb5fbbd-2f98-4069-9e9c-fb1c34f3a14f', 'cd46a688-3e27-43bd-ac23-5d1d441e2dd2', 'CScRxKpAaLvFXagcIcnkPDEotoaHXss17IT6Soet', '0'),
('1ca7d29b-80bd-4cf7-844f-c1f744d06c6d', 'c3a606bc-c1c3-4aa7-95f9-dd2d5d2d744d', 'uYmpigewTevfIUSMb4o6DXicZlvWTsgM0KBfhnzs', '0'),
('0617ac10-5ff1-49f6-9484-3bb006e4500f', 'fbe4f468-1d6f-4b6f-afe3-ba4c99e2324a', 'vmLiwVbMphGecKSxoCVl1ftCL3Txqg2n8WvAd4Mz', '0'),
('3fb06ae5-52a2-4b21-816f-a360cfbb1f9f', '50619e16-498c-40c0-bbbc-6ab62390d87e', 'H2JEHUuhCMkZBNiQdngxTdRoIYhcA4buNkBiDK8D', '0'),
('cbce10be-4d65-4e60-9621-2f8949d92e20', 'fda79f6f-fefa-4e28-911c-4b030d1b9d3b', 'eraIIqdA22IyFU8K8OtZrEm5zxie1fKnyEbcH1WY', '0'),
('0e532b13-6896-48b0-92d3-f88084a29d14', 'cf0b2ccf-a032-45ff-9825-d9d4a70eeee3', 'TS5PIchnEAKQXW6VYE2oeUvsZqflenK38q5PIjfb', '0'),
('0be260a2-fe0e-4678-81d5-ea56a0afe138', '02ed2109-694f-48c0-b177-397dfc0ad9cc', 'BW17JLBdQaHML3kZMKMQE5BWKBjQgGp9IRRuqam3', '0'),
('9612842d-1eb5-492c-8382-b2d6dd2e621e', '6e1a3fef-ecce-4aba-a9b6-6f244d92bf6c', 'VtpXkkDcon2oGQDfO0iMRmCbsFtTXKc0eb3CsHn6', '0'),
('f8e2b635-c5d5-4784-a928-8524a3cf4c6a', '3e495db5-5d7e-4430-9908-3efeb9a1d14e', '5fLqNmXI4KEEhpkFoGtc7iXoFxqS2WNySnu7rk5Z', '0'),
('5c92364b-933a-4e07-a7be-2a683c555f1b', 'f26a053f-571f-4370-b7c6-2f139778309a', 'o35Y7h89VelAkF9MQHTHhyp2721iIRbKE8ZCCcOA', '0'),
('73a09748-95ce-4270-b5f2-d2ec5c83b3ab', '00a6d7ee-0675-4cc7-b3fc-dc26fb9fe4b6', 'dvI1g30ylVNYP0UOHCnHUgD3j6Efn8FeCXggtyfV', '0'),
('06b04941-ae2b-480b-86de-ed8994ea7452', '18daf16b-dd0b-440e-b9f4-c9d7792a5f9e', 'asz4p8UGQNWynLOsbdWWuWae15BCD0oPsBAtZ48U', '0'),
('66a7ec5d-dcd5-446f-a0da-83fc7eb9a47a', '0b51c386-c6ff-477c-aa4f-cd72947f3681', 'owTylfjQ2dsdfHeHPdJUlwhVLxhPzJAfbeQFobA7', '0'),
('ec48701c-e294-4d8f-a102-83d2dad7b825', '75621dd1-db1e-41f6-9eed-53232974e594', 'FKVleMbMzmSCS56nLQaMvNmwLaOYg7sgoyIQG2K5', '0'),
('f1675f2b-8c72-4625-a049-434c71022336', '0c231bbc-685d-4a4b-9374-8050548fcd1c', '232Ad8rYQ0GUuyELbrgOHQ3RqUmEsoxkqrfeclUt', '0'),
('c2c0b3c8-35ae-417c-87b0-e2dceae47bc0', '77d3fa38-2305-42ad-91f7-b07a4f40b576', 'dBFkfSvZZlx3rbWzTsOZXD2x9TZ1AF3UrVXKITB3', '0'),
('c90d2adc-6faa-447c-8536-73abb3852dae', 'e49ea7bf-9045-4042-9fe1-43fddb1a44d5', 'dP3KxtVoClGmUoItN5Aidqkcx0P9hc3pRRRTiGTa', '0'),
('4c76991a-1fb0-4c48-b04c-15401a20d76a', 'ce76c279-3eee-459d-a2d0-bf426408a721', 'LbyM7ZCQnrlv45VgBLL5FCDDlqz51PjLKIJ6sris', '0'),
('0099fe34-14f4-48d1-8a2f-1f0cf964b9e1', 'f3cb4e9d-d799-4385-a094-0a727df071ae', 'B87V2pzatQA0GGco2BC9m5faxlIBj4uIctyfT9IF', '0'),
('258c2a44-312b-48f2-852b-e702d60acc9f', '9625eed2-7a71-4989-9663-273d70e79529', 'spvnahpUkUn8d8GBMVIFP8V96VY2bewciVujA4y1', '0'),
('f06ccc1a-7b13-4563-b957-cac92820553b', 'd67d703d-d48c-4ba0-9be1-823d2339e3e5', 'OCj70Tn8ovmakcHnMxAnwziaZQceVNLKbFtboRRX', '0'),
('5918c4a0-3c85-4679-a816-d95777a30267', '3f08b63b-0b8e-4767-b741-0cbb8e8dd333', 'HGoYvOnj39evQFyatoWd3MMayY8hcgpFkBABAmzm', '0'),
('f8148eda-ee42-412f-bd92-51438901d2b1', '18318ea9-1214-4f3d-aadc-8d5f6e537490', 'hkyNAppqCd1zwKNHerub0IZAZeLXOFfqg6s1MiSm', '0'),
('899133f5-810f-4071-9f8e-88ecc0e4463e', '8bdb31f1-e293-41b0-9bc4-bc80df0078e8', 'dxLiaXXpXhxNcL3llRjBcydiCv3hqXOq70VDFyJE', '0'),
('c7e87946-411d-4af2-ab42-3e2efdd3da5e', 'fe1b5248-b432-44b6-8f97-5b3edb09e2a0', 'qHZChg6VhApDOYwozgoSWK3auNw8OXHJT9Hkudur', '0'),
('f1e5378f-7d10-4a9c-8c44-967346011d33', '9b041180-b976-40ae-8784-93de1e7290f4', 'cPOBv1UNbsxgyKgBP6IrhFHiAQnomQaMFzxFKETy', '0'),
('933d1997-1537-41dd-8d7b-beb61c20810f', '77016f48-4bd8-4598-bf69-97dc10a4ce55', 'Qc8s6sGb5eBYO47pDbamWs6Kde1cRTxq9jvKflhP', '0'),
('b1e3b2de-b305-4b62-9e94-ebcd3e667052', '42f373c7-5d81-4b74-a555-50a6b969a745', 'qGlhTYN2qfM3vSCdblzqFwSBzteiUkpeDQXpnL07', '0'),
('fb456289-8c30-45c0-9afe-a0bd55c4c1b4', 'e34afe0a-fd6a-410f-a6f3-2e4c070d5d5a', 'WUsHnughv21neDy0eFebyZhWCU43D8Bwd8eT1W6I', '0'),
('0698aba3-0375-4988-b3d0-6e555b5dbc30', '80d02ed0-480f-46ae-8d0b-dfa91e2ba3bc', 'vXcO8Zs8IR9fvlsZMwgboGazR67H5ktZhKxLQtWp', '0'),
