INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('4f59f6be-861b-47a1-a47d-ec70ed1b5981', '0a4d7ae6-969f-449f-b695-4e5553c7654b', 'HluuQqpp2DEFTx2Kqb2AQzfLl5GI2ciO3wsO8YC0', '0'),
('23d67cf5-f9d4-464a-844c-00979707947d', '5d958940-9cc9-440c-aa33-acaa05101fc4', 'Z4FTYhRE6HGC4Xv7IStULmkJf3ZGNcGIPwSGk5Hi', '0'),
('4d025108-7da8-410e-925c-bd80092f134a', '6596894d-d329-492c-bf06-9b411ab408a2', 'fDGwNOJBU9TymWddkvk4VYATEbJCol6p9O2Hdfeh', '0'),
('bd1254cb-c144-42d0-bed1-7eeb8686ebd6', 'bb027190-7775-4abf-b2ed-c712cc0369f3', 'R5bvPVceERi3c1XKodeORzuoBm90fuU47RqCOoGv', '0'),
('c3495011-88fd-407a-8db6-3ffa8e12cf1d', '4595fd06-8bec-4f50-88b3-e441f87fef39', 'jDLnsWGFbrXuAIJGMQKPf3vmth3RFk9ET20mGaQQ', '0'),
('7b625cd6-214a-4127-b427-02c8a415e285', '00535d72-894c-4bef-b825-3eece75e58c0', '2ogdrRlEYRoRF7rFYRPIER8BHnNKvqHK1lhlnpaj', '0'),
('427b0c50-e4ae-4b62-97cf-ed631f5fd792', '6c758feb-fcd8-4a0f-b842-f4b9952173f4', 'mgni8NFVC0fxA88zafSg9iQqffSPFfn0WIYdaqKw', '0'),
('e8acab73-7d34-420c-82ad-736f053568d7', '59f7f699-8d1e-4aee-a46a-647fbfe7dfb0', '0HuMuDvmoDn1MfpzcnUzBG0u53OrNE3REJLvM5NI', '0'),
('632403d6-fd6f-4f7b-8356-f9b2f6ffd231', 'ca59567b-4a76-44cf-9a9c-b294a6415bc2', 'DEfr8psdns4GErCDmvHL0t8SyUlrp6uxTg49UK3K', '0'),
('974bff33-ab06-4564-9e07-cb148b28cc0a', '441d48b3-159e-42f4-b41c-f491c4d63c42', 'q2eD1mc9nfEu38cQ1J4eBARvFsOlCWxqvJHQCCNo', '0'),
('0f94de1b-ece2-4e7e-a28b-fd2dc8e71b5d', 'adf3c376-7672-465a-9fa4-6b62831dca9f', 'PGBvzgzbqt81UyT0FdEpm0tAcRd1QstcI3ksc1JJ', '0'),
('b7881e6f-36f0-4fa0-8ee0-404954577fbe', 'c8a2196d-8e10-4829-83d7-917e80df07b1', '0HcFZvHCY1CBcMS2Vx1qCmGXpLygyft1M1DXIZer', '0'),
('2acc4d20-7f49-4884-b5fc-70126bc48575', '2e7a1a77-2ca0-40dc-af9a-322f5ccdb5d7', 'ScCllb1SlFM8d4vYt2yQG4aTya2cMWlbgHOVqwN0', '0'),
('6dc4613e-f0c5-4b37-8f7e-96d4942ffaf2', 'ac0f1b32-eb83-4302-9fcc-5c7bc87653d0', 'sVXn0imR8kXds0LChVhnawbq0SXitGCoYu457bal', '0'),
('e53f98e8-7918-4e9c-84a0-82a7f0b1aee3', '694fba57-f4d0-4b31-8691-c67a3ced40ad', 'iRf6nM6HxftY9QKx4LyDRTDJlSPwmA8g6cZ5BWjJ', '0'),
('3b2cb9ed-550e-40fa-abd5-3cf267b74eeb', '136a5fe6-71ec-489f-8c00-01711657699c', 'ucW6li7UFsuQUJQRSllYrOeG1TaI1Xn2ruKqdEWO', '0'),
('e8f235b9-90bc-4a16-ad34-a1e061256597', '7327c8e5-067b-4d87-afdc-43376e19e34a', 'e9GVSEzz9ZhsDavj9jdpAOMpxrJfzE5Xg1rtYPgD', '0'),
('f6f0a321-a1bb-4aba-a5b9-59277657e9ff', 'b987a787-e1e0-4473-b69b-6ff733f5f631', 't7ymW3Seidkq8H5qSguRAQxDFbbxtBEWJY0AlkYI', '0'),
('77267304-83bd-4527-9d83-332dc8d4681f', '014acfbb-c558-4566-85c5-20d711a667de', '9hCoClz0ZON0ryLn8sfo7khXLSO3sW00gjYP9Gsf', '0'),
('8fd6e59d-dadc-447e-962c-19e43186203d', '655e1e40-7e57-4e61-8c2a-d5235b5351d9', 'dd7X52vRY8yVugeyNd48gvsV8eq3OCj8d7I9aD3t', '0'),
('50e5f024-2a11-4d7c-b868-a1d964fe502a', 'd3a66f87-4943-42d0-bce0-e54eeea5f352', 'c2fe8z3FFhvGiGppNZdDi5AzFWdnCKjB4nPgIAdH', '0'),
('2a7c0cb6-4485-466a-a33c-fd735ac68a23', 'faa1944d-c5ca-4f92-ac5e-44fae8b7ddc7', '7ZF93xlCveKn9MhCD2Ob2fvwEH0PQpTVlQWRPRyT', '0'),
('5539a6c0-359f-4c51-9014-f7c514716310', '4781191d-1969-4d41-9235-8199c7903152', '9AsZbDamIBBxRVDHqQ2bbKKIAGyzXcvc9IEbnQqL', '0'),
('8d22bff6-c982-44ea-af3e-f6355c69ea46', '845895aa-7f24-49dc-b12b-0ba9e546b7b7', 'RCAl4PVetVruizLknntFa4Ud9zk36us9bYS3Lyp7', '0'),
('96b338ce-af25-4726-959b-3d46d90ae82e', '0501cf68-60bd-41af-af4d-359f3033cb69', 'JREmMv3IgQzFwPlhmR64xc0eDMS5ELawyntIWPoN', '0'),
('17b63c1b-1408-4344-b33c-be7d1da49ad1', 'f6d62ed3-04c4-4305-b760-9e4ed92b705e', 'ss1tYJahQwOAGJG1JzR06Dv4WswDgYPg90kOcd8k', '0'),
('43a6a27b-fd25-4195-813e-f616c3eb0e0f', 'd7ab0767-4aa6-4224-a282-ed8a1a45341c', 'tNEeOpxEvWYgcYTFpR7sU5xeDf3pkHQCeXNrKtjn', '0'),
('2701599a-f2b9-472d-8d46-dda444ef1e91', '47f03964-1578-4390-8bcc-e2718221a1eb', 'Qiys1ccuOMlwwBgrjNDnQdtepVJbnRchz8CyJol3', '0'),
('3b6c136b-a0c1-4d61-838f-955df362a3fe', '7a7583ad-ccdc-499e-931f-7d245e99fe40', 'r2dsQy0euVZsbuAlF7QA3eO8lIZ8oNXALUgPMxnP', '0'),
('518c76eb-8ea1-4875-9897-6e58e55427b9', '86eeced0-17b9-4efd-b770-195ad535a5a2', 'w0ZTn0IpxwbEl8LSHAvpApsLOK261cIC0liWoRnc', '0'),
('bcddd476-7ef8-4aeb-a364-647da5097331', 'f8a72e65-0029-4b3a-99cf-e2ed8704a7f1', 'LOK2Q379D98yNfveQTxJAdBMe2Ly6qLPWIO8okbb', '0'),
('0eb73aaf-9402-4741-993a-629a693e2ed3', '6d297801-141a-42a3-8d31-b37c83e6d125', 'qtoYBORTcZTHFPK8iS5JJio3xbaPUSN1vkVCxjXt', '0'),
('af84421c-be99-4356-86d0-b40701983394', 'a79f46da-b577-4294-95b3-d9a2ad61e0bf', 'cpPgRPix2P9bUEaP9EAVV2KRTU7Ao2bSVbCaGhnw', '0'),
('c4985c38-3f6d-496c-a90a-8dcd79031b59', '45fbc177-994e-42d8-acd0-61cdda428b6c', '4XahaOhaIUmEp4ELkhbcVErvP4Jr0Av5Qfr6K0aq', '0'),
('943055f5-739f-48f1-9bf5-f2f34f79088f', '0f470c9a-019b-4591-bd9b-c7761ae7c22d', '0sfVKbI3jUGVmgEMAXr8nMOFQwtzkIASlKR70OEU', '0'),
('0c2f532e-9050-4454-9756-033ecb4ea2bd', '6f9ffd4a-6448-4cc4-847e-d13f64279861', 'iMHgxOMT6cqC1jJUGc8it7YxZKFoqbZyysCCDJUK', '0'),
('8ad05314-f616-4146-ba6d-abf16b7fc944', 'ee41552c-cbe6-4276-82cf-a5652aaf3547', 'BdK5MF9N8SqxJ1zB5PQjyU16Z6lFdD0MWMAjGqqH', '0'),
('15851162-c057-4220-affc-f1a577bb5823', '5b9d1a07-0708-4826-9c01-0b6515603d9b', 'LVE4BULTtM890dKjqPlCIynI42oqjIKaBON15AV6', '0'),
('bfe85eee-67b1-43ef-8ebb-e158f7519a10', '8e386feb-260e-49ef-8393-69d8f6416b63', 'XA2jR2AJ5Af5HDPBoPfpTkoiMYnwu0uGsoEJNwJN', '0'),
('8ca21b6e-9e26-48a5-9d20-0c1085002969', '72628ca8-2e22-4ed0-a23e-5d1c2f3904da', 'j4rMkHtnCl5usa0FIs54bvdQUVSWQ3nPkaXsUfaO', '0'),
('ccb3d1a3-b579-4a8b-9f02-d1d13a077e0e', 'cab4de4f-ca06-4ec2-8c33-16f7a678bba8', 'RzoffGXCbO9xYraJR8SYBojL2va0EnZSAwo9FXhr', '0'),
('87fdb1d0-8269-4e61-8808-882112aa7da7', 'fb811a3b-05a5-44a1-a3c4-7966f0b8fa32', '1oDSgrZSFtBpvIijVt6X2iQECD8ISGUF8t2EWb77', '0'),
('e71af507-7304-42d5-9973-91bf2d6b5249', '6932d1e2-32a4-41a1-80cf-2bcf942074e9', 'EzqQoxBSX1cN3VPFZM478WIfnpKRdFCfzsX934wE', '0'),
('8729f3de-c573-4832-93fa-3d98e9724957', '3236332e-9a4d-4788-bb95-1a1e4f2a6ab8', 'gYkeDZ3637jlgCO570gvulmcgjFycPcmXHwBxzrv', '0'),
('a5271921-b07d-4f10-86de-e63a408c09ab', '205e5193-517e-473b-840a-557f1504e70f', 'X5DC1GF1a1QPvdgfm7DlDkvjWUc5xi4DZRIkQUAg', '0'),
('33333f17-9a50-4b09-b8e5-f2967fbc9b02', '97be616a-b856-452c-b61c-54b46c0eb569', 'mUehCU2pIVwFd3BOnwSxV2Ir2Yf8I26TTLJvITp6', '0'),
('502bb7ea-9471-49d3-af29-42afe33eb23f', '29066d77-a77a-4894-b9d0-70c79632baa4', 'GZwrk76tnu4cQj2C2KKKSuO2JpiqWL3ZNmaSjyo7', '0'),
('52651b38-5a01-4c62-bcf0-60a57843be08', 'd1131e98-31d8-420f-a7f4-aa233e3184c4', '7r2OuCytc8lhDyr3gCrAETOA3JUojY1pPXyZdDaQ', '0'),
('91749aee-d4be-4774-bc15-e6390148aa3a', '9fedc7b8-192d-4f4f-8746-7eb860b08031', 'rg7DH1aKnXLOvjNcYuT6ZFF91ekDv8FwCcBixNVf', '0'),
('7b58fed9-4d80-433c-949b-cbed544b940c', '508e3740-b7db-475d-8a0d-a10043259414', 'vLsFWUWIHTJzcNgQV6cdW89fAeCz3xBlzemANzJl', '0'),
('1c9749d7-2f01-40ae-90a6-476abf2dfa57', '90ff7b2a-fedd-4ecb-b45b-3e6946d755ba', 'GT0sy1mp5C122XBAIjBO6bGPD7aumWKISbmUAtOW', '0'),
('ba050dbf-9426-4707-ac35-336e51c424c5', '1f94771b-4050-4c04-ae84-0a6c59bef2e4', 'KXqSg4tVL2qfMe8pTVnyMyvlW32xdcwiasu8ZCg5', '0'),
('299ad4b2-ea6a-445a-acd5-445cac4b19d2', '874309a0-3795-4007-80b0-02cbd25d5802', 'XbJIeQm2d3i2fQTr4Ijua6WUphAHgNhnCEwsRQKI', '0'),
('deab8e45-97b4-4587-af69-3fe483b4302d', 'e4a75ef9-1ddb-4038-b5d8-483db84ea482', 'OBE23bbe7FCFjfZT4XOqjidJjX8TqtGbipHp447W', '0'),
('f69801ab-dc74-4348-b06d-2b6faba92e0e', '3d1219ee-081a-4be5-994e-84d8308b3bca', '9rzaftIfWr3EXZ8BRvEJPTJ1nG5649qKYKu3QD1A', '0'),
('718192b5-18ee-4cbe-bd66-19a269deac85', '2fda8ad3-fc28-4897-b8e5-bb2e6a5f19ed', 'hL98RCBkBWdiJ7fv8Uft9RGoYIccHrhWnfk5MVR3', '0'),
('96710b61-b9f0-4097-acc6-677aa2a77eb8', '678bd818-8ea1-4c7d-a500-034b12f4bfad', '43Mu3Zn6KuzqQp0O99J52cGx2gr3o7xYxKmlXm18', '0'),
('914b8086-8209-410b-9064-922bc471441c', 'd0a69208-507e-426a-8aee-84493f0284fc', 'OK1xKmaF4lbsswsdZUTc7hd5jI7z9X7CV0MPfcNq', '0'),
('a99888e9-60af-42d6-869e-b33187a99028', 'fff3a14a-66f4-44c6-a6b2-f9bac1c60d26', 'E16B3oZqZF3kzwYV3sjLxUXj53gZgjS3MPRmTXTC', '0'),
('e23486ac-858c-4655-a899-fdc79f728dd3', '24280d0c-61e8-4a83-9e37-1d83ea8bda58', 'QphGFpKbk9v6SnzH5CswbO59vGtMqZAqlyPYwy1d', '0'),
('bb666d32-bed2-4678-ad0b-e56f6e072c39', '61e34d15-8684-4638-8f32-853b1448f252', 'TlCvuuuvPAXLzvauWaDLo5s5rz8VhXpjlp8Zd2BU', '0'),
('db7d9031-1277-4075-a574-2ee271387288', '4085d203-63e7-4c8e-9d73-2464109e4453', 'CwIwJRKkYjptyPU8H2tzqpTa4yxVyZ3u6e1qcYH5', '0'),
('d004eedd-ee61-409d-896c-c46e011b3e87', 'e669bc84-3356-458c-9852-11d99086a282', 'NxBujIImAD2WknKpew9yBu9JPaKotCqW8UQvMoRZ', '0'),
('c28eaaff-f022-4d11-a7d5-4345e5653c22', '06b9107e-ae25-447a-bb81-0c5d779b7a7c', 'uLDiTMPHywE2Bc1dgNJgTWQxxeNfStWw83GNor2k', '0'),
('92a1f27d-1ffc-4ed7-8f54-387adebf87e9', '2255d8e0-c3a2-42c1-a6c4-fb1f21791f0f', 'rsFQ7jZ2wxqpfLIAAgpKyXRmaibegHgPm0v1QfUL', '0'),
('f5fd4bd6-b5cb-4f9e-812f-c8136f087e02', '1a9afe1a-a76e-40ac-9046-823645b02e75', 'ZINMOt2gDdmX8ezaCUZebQDYAcZyUY26Sea3Tjre', '0');
